"Instrument","Qty.","Avg. cost","LTP","Invested","Cur. val","P&L","Net chg.","Day chg.",""
"ACUTAAS",2,2251.23,2299,4502.45,4598,95.55,2.12,-3.96,""
"ALKALI",2033,78.29,65.92,159166.87,134015.36,-25151.51,-15.8,0.33,""
"APLAPOLLO",2,2016.5,2041.5,4033,4083,50,1.24,3.12,""
"APOLLO",70,265.86,235.58,18610.01,16490.6,-2119.41,-11.39,1.34,""
"ASHOKLEY",10,172.8,175.45,1727.95,1754.5,26.55,1.54,1.95,""
"ASIANPAINT",2,2177.9,2423.1,4355.8,4846.2,490.4,11.26,3.01,""
"ASTRAL",4,1604.91,1627.65,6419.65,6510.6,90.95,1.42,0.11,""
"ATHERENERG",1,909.95,872.4,909.95,872.4,-37.55,-4.13,-3.94,""
"BANKA",830,67.09,76.18,55688.68,63229.4,7540.72,13.54,4.99,""
"BDL",10,1361.3,1356.1,13613,13561,-52,-0.38,1.75,""
"BEL",29,428.87,447.5,12437.25,12977.5,540.25,4.34,1.34,""
"BHARATAGRI",250,26.63,26,6658,6500,-158,-2.37,3.42,""
"BHARATFORG",17,1738.22,1829.85,29549.8,31107.45,1557.65,5.27,1.53,""
"BHARTIARTL",2,1893.7,1855.7,3787.4,3711.4,-76,-2.01,-0.81,""
"BSE",16,2795.71,3390.7,44731.4,54251.2,9519.8,21.28,2.64,""
"CAMS",30,716.08,728.05,21482.5,21841.5,359,1.67,3.23,""
"CDSL",12,1334.64,1339.8,16015.7,16077.6,61.9,0.39,3.81,""
"COCHINSHIP",2,1283.9,1479.2,2567.8,2958.4,390.6,15.21,3.08,""
"COFORGE",7,1410.96,1283,9876.75,8981,-895.75,-9.07,4.19,""
"DEEPAKNTR",11,1518.02,1523,16698.25,16753,54.75,0.33,3.25,""
"DISHTV",26978,5.13,3.38,138281.59,91185.64,-47095.95,-34.06,9.74,""
"DMART",1,4479.9,4473.3,4479.9,4473.3,-6.6,-0.15,0.57,""
"ENRIN",2,2581.8,2918.3,5163.6,5836.6,673,13.03,2.43,""
"ETERNAL",57,255.1,246.67,14540.75,14060.19,-480.56,-3.3,4.42,""
"EXIDEIND",87,391.87,329.95,34092.4,28705.65,-5386.75,-15.8,1.57,""
"FLOMIC",1266,54.07,47.68,68446.71,60362.88,-8083.83,-11.81,5.39,""
"GOLDCASE",495,25.07,23.82,12410.6,11790.9,-619.7,-4.99,1.28,""
"GVPIL",12,468.25,497.8,5619,5973.6,354.6,6.31,5,""
"GVTD",2,3437.7,4138,6875.4,8276,1400.6,20.37,1.06,""
"HAL",4,4189.9,4239.2,16759.6,16956.8,197.2,1.18,3.4,""
"HAPPSTMNDS",174,571.02,380.9,99357,66276.6,-33080.4,-33.29,1.91,""
"HCLTECH",3,1369.78,1451.3,4109.35,4353.9,244.55,5.95,1.5,""
"HDFCBANK",20,779.85,809.9,15597,16198,601,3.85,1.91,""
"HFCL",610,75.05,88.12,45780.19,53753.2,7973.01,17.42,2.47,""
"HINDCOPPER",69,562.02,548.55,38779.4,37849.95,-929.45,-2.4,4.07,""
"HINDUNILVR",6,2313.42,2156.5,13880.54,12939,-941.54,-6.78,1.36,""
"HINDZINC",33,609.48,580.35,20113,19151.55,-961.45,-4.78,3.15,""
"IDBI",583,77.63,74.4,45261.13,43375.2,-1885.93,-4.17,0.72,""
"IDEA",2177,9.15,9.45,19922.21,20572.65,650.44,3.26,2.05,""
"IDFCFIRSTB",185,70.26,66.91,12997.9,12378.35,-619.55,-4.77,3.13,""
"IEX",30,137.38,132.7,4121.45,3981,-140.45,-3.41,2.75,""
"INDIGO",1,4251.8,4634.45,4251.8,4634.45,382.65,9,4.63,""
"INFY",4,1457.08,1305.2,5828.3,5220.8,-607.5,-10.42,2.18,""
"INOXWIND",77,107.11,93.41,8247.37,7192.57,-1054.8,-12.79,6.69,""
"IRCTC",160,764.98,553.55,122397,88568,-33829,-27.64,2.91,""
"IRFC",20,92.84,101.76,1856.8,2035.2,178.4,9.61,2.82,""
"ITC",10,296.8,302.1,2968,3021,53,1.79,1.16,""
"ITI",115,295.53,291.8,33986.5,33557,-429.5,-1.26,0.9,""
"JSWENERGY",5,492.75,528.2,2463.75,2641,177.25,7.19,3.65,""
"JSWINFRA",6,268.29,270.65,1609.75,1623.9,14.15,0.88,3.42,""
"KALYANKJIL",17,430.06,442.5,7310.95,7522.5,211.55,2.89,0.16,""
"KAYNES",2,3670.75,4016.8,7341.5,8033.6,692.1,9.43,3.56,""
"KCPSUGIND",1100,28.66,26.27,31522.28,28897,-2625.28,-8.33,3.06,""
"KPITTECH",60,833.12,728.65,49987.4,43719,-6268.4,-12.54,2.65,""
"LTM",3,4477.67,4628.7,13433,13886.1,453.1,3.37,3.63,""
"LXCHEM",379,182.88,137.73,69311.14,52199.67,-17111.47,-24.69,6.18,""
